,job_no,roles,companies,locations,experience,salaries,skills
303,305,data scientist / advanced analytics - machine learning,e2e infoware,"['chennai', ' bengaluru']",1-5,not disclosed,"['advanced analytics', 'deep learning', 'artificial intelligence', 'r programming', 'machine learning', 'python', 'data analytics', 'intelligence']"
304,306,data scientist,commonwealth bank,['bengaluru'],5-7,not disclosed,"['data analysis', 'github', 'artificial intelligence', 'machine learning', 'data structures', 'financial services', 'sql', 'python']"
305,307,data scientist,covalense global,"['hyderabad', ' bengaluru']",3-8,not disclosed,"['machine learning', 'data collection', 'data visualization', 'data', 'collections', 'machine']"
306,308,data scientist,akkodis,['bengaluru'],4-5,not disclosed,"['computer science', 'computer vision', 'linux', 'machine learning', 'information technology', 'automotive', 'analytics', 'functional safety']"
307,309,nlp data scientist,heaps health solutions india,"['hyderabad', ' bengaluru']",2-3,not disclosed,"['basic', 'data analysis', 'version control', 'git', 'gcp', 'programming', 'healthcare', 'technology solutions']"
308,310,data scientist,heaps health solutions india,"['hyderabad', ' bengaluru']",1-4,not disclosed,"['data analysis', 'version control', 'git', 'data science', 'gcp', 'analytical', 'machine learning', 'data mining']"
309,311,data scientist,brokentusk technologies,['bengaluru'],3-5,not disclosed,"['health insurance', 'sas', 'financial inclusion', 'agile', 'infrastructure', 'predictive modeling', 'data mining', 'financial services']"
310,312,data scientist,add on it systems,['bengaluru'],2-4,not disclosed,"['pdf', 'statistical analysis', 'machine learning', 'ms word', 'data visualization', 'python', 'microsoft', 'machine']"
311,313,data scientist,cellworks research india,['bengaluru'],3-5,not disclosed,"['computer science', 'nosql', 'statistical analysis', 'data modeling', 'analytical', 'machine learning', 'mysql', 'data structures']"
312,314,data scientist,tata industries limited-tata insights and quants divison,"['mumbai', ' jamshedpur', ' bengaluru']",2-7,not disclosed,"['data analysis', 'data management', 'html', 'http', 'information management', 'data mining', 'econometrics', 'information technology']"
313,315,data scientist,customerxps software,['bengaluru'],12-15,not disclosed,"['machine learning', 'data collection', 'data visualization', 'collections', 'machine', 'data']"
314,316,data scientist,customerxps software,"['mumbai', ' bengaluru']",12-15,not disclosed,"['machine learning', 'data collection', 'data visualization', 'data', 'collections', 'machine']"
315,317,data scientist,gforce consulting solutions,['bengaluru'],3-8,not disclosed,"['tableau', 'data science', 'spark', 'demand forecasting', 'machine learning', 'data structures', 'object oriented programming', 'statistics']"
316,318,data scientist,tibil solutions,['bengaluru'],3-4,not disclosed,['job position: data scientist']
317,319,data scientist,ihcc,['bengaluru'],9-10,not disclosed,"['business objects', 'ms sql', 'mysql', 'javascript', 'business intelligence', 'microsoft', 'open source', 'information technology']"
318,320,data scientist,rapid canvas,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",4-9,not disclosed,"['computer science', 'operations research', 'data science', 'gcp', 'machine learning', 'sage', 'data mining', 'aws']"
319,321,data scientists and programmer,zdaly,['bengaluru'],2-5,not disclosed,"['san', 'health insurance', 'tableau', 'data modeling', 'cassandra', 'script writing', 'big data analytics', 'machine learning']"
320,322,data scientists,huntertech ventures,['bengaluru'],1-4,not disclosed,"['algorithms', 'workday functional', 'python', 'workday', 'data security', 'predictive analytics', 'predictive', 'power bi']"
321,323,data scientist,neostats analytics solutions,['bengaluru'],3-8,not disclosed,"['computer science', 'data analysis', 'sas', 'mis', 'analytical', 'research', 'information technology', 'analytics']"
322,324,data scientist - asr & nlp specialist,deliverhealth solutions,['bengaluru'],3-8,not disclosed,"['computer science', 'asr', 'cloud computing', 'gcp', 'machine learning', 'linguistics', 'healthcare', 'natural language processing']"
323,325,data scientist i,stats perform,['bengaluru'],1-3,not disclosed,"['computer science', 'computer vision', 'deep learning', 'neural networks', 'data collection', 'model development', 'statistics', 'supervision']"
324,326,"data scientist, cyber risk",safe security,['bengaluru'],1-3,not disclosed,"['data modeling', 'event management', 'risk modeling', 'risk assessment', 'machine learning', 'siem', 'data quality', 'risk management']"
325,327,data scientist,kashsam data solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-7,not disclosed,"['data analysis', 'coding', 'process improvement', 'data governance', 'management', 'process', 'improvement', 'analysis']"
326,328,data scientist,aie group,['bengaluru'],3-8,not disclosed,"['computer science', 'deep learning', 'statistical modeling', 'prototype', 'data science', 'neural networks', 'machine learning', 'research']"
327,329,data scientist,netcore cloud,"['mumbai', ' bengaluru']",3-7,not disclosed,"['c++', 'product engineering', 'nosql', 'business analytics', 'artificial intelligence', 'mysql', 'machine learning', 'mongodb']"
328,330,data scientist,ramsoft systems,['bengaluru'],2-4,not disclosed,"['product management', 'computer science', 'machine learning', 'radiology', 'programming', 'healthcare', 'natural language processing', 'recruitment']"
329,331,data scientist,mx technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-5,not disclosed,"['logistic regression', 'data analysis', 'analytical', 'machine learning', 'data mining', 'econometrics', 'operations', 'team building']"
330,332,data scientist,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",8-9,not disclosed,"['computer vision', 'deep learning', 'data science', 'focus', 'machine learning', 'programming', 'natural language processing', 'python']"
331,333,data scientist,conneqt,['bengaluru'],3-7,not disclosed,"['data science', 'analytical', 'machine learning', 'hypothesis testing', 'statistics', 'business understanding', 'python', 'text analytics']"
332,334,data scientist,customerxps software,['bengaluru'],12-22,not disclosed,"['product management', 'change management', 'team management', 'business analysis', 'mis', 'project management', 'consulting', 'risk management']"
333,335,data scientist-deep learning,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",8-9,not disclosed,"['computer vision', 'deep learning', 'data science', 'focus', 'machine learning', 'programming', 'natural language processing', 'python']"
334,336,data scientist,nhance now,['bengaluru'],5-7,not disclosed,"['computer science', 'computer vision', 'operations research', 'machine learning', 'scala', 'workflow', 'natural language processing', 'data mining']"
335,337,data scientist,inference labs,['bengaluru'],3-5,not disclosed,"['c++', 'linux', 'networking', 'coding', 'javascript', 'dns', 'perl', 'http']"
336,338,data scientist ai ml nlp,global pharma tek,['bengaluru'],3-5,not disclosed,"['text mining', 'logistic regression', 'lms', 'machine learning', 'healthcare', 'data visualization', 'data mining', 'open source']"
337,339,nlp data scientist - real world data (rwd),agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-8,not disclosed,"['computer science', 'health insurance', 'pharma', 'analytical', 'agile', 'healthcare', 'life sciences', 'open source']"
338,340,data scientist,cognistx,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-7,not disclosed,"['computer science', 'data analysis', 'nosql', 'machine learning', 'data collection', 'business intelligence', 'data mining', 'matlab']"
339,341,data scientist,brandmuscle,['bengaluru'],4-7,not disclosed,"['data analysis', 'process optimization', 'marketing analytics', 'simulation', 'data science', 'machine learning', 'data collection', 'data mining']"
340,342,"nlp , data scientist",mango sciences,['bengaluru'],4-6,not disclosed,"['computer science', 'pharma', 'analytical', 'machine learning', 'agile', 'healthcare', 'life sciences', 'analytics']"
341,343,"knowledge graph , data scientist",mango sciences,['bengaluru'],3-5,not disclosed,"['computer science', 'pharma', 'analytical', 'machine learning', 'agile', 'healthcare', 'life sciences', 'operations']"
342,344,"deep learning , data scientist",mango sciences,['bengaluru'],3-5,not disclosed,"['computer science', 'pharma', 'analytical', 'machine learning', 'agile', 'healthcare', 'life sciences', 'operations']"
343,345,data scientist,tyootr,['bengaluru'],3-7,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'natural language processing', 'predictive', 'machine learning']"
344,346,data scientist,pragya health technologies,['bengaluru'],2-6,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'natural language processing', 'predictive', 'machine learning']"
345,347,data scientist,travel centric technology,['bengaluru'],5-10,not disclosed,"['simulation', 'coding', 'neural networks', 'analytical', 'agile development', 'machine learning', 'predictive modeling', 'data mining']"
346,348,data scientist,celebal technologies,"['jaipur', ' bengaluru']",5-10,not disclosed,"['data science', 'conversational ai', 'natural language processing', 'computer vision', 'deep learning', 'artificial intelligence', 'process', 'data']"
347,349,data scientist,"galvanize, now diligent",['bengaluru'],2-5,not disclosed,"['computer science', 'c', 'project management', 'analytical', 'machine learning', 'legal', 'manager technology', 'wellness']"
348,350,data scientist,the it mind services,"['kolkata', ' mumbai', ' hyderabad', ' new delhi', ' pune', ' chennai', ' bengaluru']",4-12,not disclosed,"['machine learning', 'data collection', 'data visualization', 'collections', 'machine', 'data']"
349,351,product data scientist,xoom,"['chennai', ' bengaluru']",1-4,not disclosed,"['data analysis', 'product engineering', 'diversity and inclusion', 'finance', 'hypothesis testing', 'manager technology', 'wellness', 'analytics']"
350,352,data scientist,xoom,"['chennai', ' bengaluru']",5-7,not disclosed,"['statistical programming', 'data analysis', 'analytical', 'qlikview', 'business solutions', 'continuous improvement', 'teradata', 'analytics']"
351,353,data scientist,open insights,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-6,not disclosed,"['c++', 'linux', 'agile scrum', 'machine learning', 'programming', 'object oriented programming', 'statistics', 'sql']"
352,354,data scientist,germane analytics,['bengaluru'],8-13,not disclosed,"['c++', 'algorithms', 'simulation', 'coding', 'mysql', 'machine learning', 'javascript', 'business objects']"
353,355,data scientist,fiddich,['bengaluru'],5-8,not disclosed,"['algorithms', 'data modeling', 'analytical', 'machine learning', 'grid', 'perl', 'data mining', 'matlab']"
354,356,data scientist,kanini software solutions,"['noida', ' pune', ' chennai', ' coimbatore', ' bengaluru']",4-7,not disclosed,"['unix', 'data analysis', 'sas', 'linux', 'coding', 'analytical', 'windows', 'risk management']"
355,357,data scientist,pattern effects labs,['bengaluru'],2-7,not disclosed,"['statistical analysis', 'data mining', 'statistics', 'data', 'analysis']"
356,358,data scientist,bizviz technologies,"['hyderabad', ' bengaluru']",3-8,not disclosed,"['erp', 'data analysis', 'sas', 'simulation', 'analytical', 'machine learning', 'healthcare', 'data mining']"
357,359,data scientist,response informatics,['bengaluru'],2-6,not disclosed,"['sas', 'aviation', 'analytical', 'machine learning', 'spss', 'gas turbine', 'matlab', 'analytics']"
358,360,data scientist,ctd techs,"['chennai', ' bengaluru']",2-6,not disclosed,"['process automation', 'data science', 'artificial intelligence', 'consulting', 'machine learning', 'linear regression', 'microsoft', 'facility management']"
359,361,data scientist,kanini software solutions,"['noida', ' pune', ' chennai', ' coimbatore', ' bengaluru']",4-7,not disclosed,"['unix', 'linux', 'sas', 'coding', 'application development', 'windows', 'teradata', 'open source']"
360,362,ai - data scientist/ architect,ideslabs,['bengaluru'],7-12,not disclosed,"['architect', 'sas', 'data science', 'focus', 'machine learning', 'cloud', 'programming', 'agile']"
361,363,data scientist,sociomix,['new delhi'],0-5,not disclosed,"['statistical modeling', 'analytical', 'machine learning', 'deployment', 'data visualization', 'data mining', 'python', 'data']"
362,364,ml / data scientist / gen ai specialist,gibots,['pune'],0-4,not disclosed,"['relationship management', 'health insurance', 'sales', 'networking', 'relationship building', 'paas', 'customer support', 'b2b sales']"
363,365,accomplished data scientist,bsd infotech,['delhi / ncr'],0-3,1.75-5,"['database management', 'predictive modeling', 'matplotlib', 'power bi', 'data interpretation', 'data management', 'natural language processing', 'analytical skill']"
364,366,data scientist,hbic solutions,['hyderabad'],0-2,not disclosed,"['deep learning', 'data science', 'artificial intelligence', 'data collection', 'packaging', 'data analytics', 'python', 'testing']"
365,367,data scientist,impelox tech,['chennai'],0-1,not disclosed,"['data science', 'python', 'tensorflow', 'r', 'data analysis', 'java', 'pytorch', 'machine learning']"
366,368,data scientist,clustor computing,['nagpur'],no fixed duration,unpaid,['na']
367,369,data scientist,scimitar research,['pune'],0-1,not disclosed,"['computer science', 'data analysis', 'pdf', 'data science', 'data manipulation', 'demand forecasting', 'machine learning', 'programming']"
368,370,data scientist,growthjockey,['gurugram'],0-1,not disclosed,"['computer science', 'data analysis', 'sas', 'machine learning', 'data structures', 'data processing', 'predictive modeling', 'pattern recognition']"
369,371,ml / data scientist / gen ai specialist,aiqod,['pune'],0-4,not disclosed,"['software architecture', 'interpersonal skills', 'data science', 'data modeling', 'analytical', 'machine learning', 'data structures', 'statistics']"
370,372,data scientist,p s international hr consultants,['mumbai'],0-7,not disclosed,"['product management', 'data analysis', 'data modeling', 'analytical', 'database', 'model development', 'analytics', 'sql']"
371,373,data scientist,opta consulting,"['hybrid - pune', ' bengaluru', ' mumbai (all areas)']",4-8,16-30,"['tensorflow', 'docker', 'natural language processing', 'ml', 'pytorch', 'devops', 'kubernetes', 'languages']"
372,374,data scientist,data scientist,"['pune', ' gurugram', ' bengaluru']",6-11,16-30,"['gcp', 'vertex ai', 'mlops deployment', 'data', 'vertex', 'artificial intelligence', 'deployment']"
373,375,data scientist,nexperia,"['hybrid - hyderabad', ' pune', ' bengaluru']",4-9,not disclosed,"['gen ai', 'ai', 'machine learning', 'ml', 'data', 'artificial intelligence', 'machine', 'gen']"
374,376,data scientist,lti mindtree,"['hyderabad', ' pune', ' bengaluru']",3-8,not disclosed,"['data science', 'artificial intelligence', 'machine learning', 'science', 'intelligence', 'machine', 'data']"
375,377,data scientist - hadoop + spark,hiring for client and industry is it services & consulting,"['hyderabad', ' chennai', ' bengaluru']",4-9,not disclosed,"['data science', 'data scientist', 'hadoop', 'big data', 'spark', 'machine learning', 'python', 'sql']"
376,378,data scientist (leadership role),fortune global 500 industrial automation firm,['bengaluru'],12-20,not disclosed,"['tensorflow', 'artificial intelligence', 'keras', 'machine learning', 'scikit-learn', 'pytorch', 'data', 'intelligence']"
377,379,data scientist || llm,naukri premium - employer services,['hybrid - bengaluru'],3-7,not disclosed,"['llm', 'prompt engineering', 'data science', 'gen ai', 'chatbot', 'generative ai', 'chatgpt', 'science']"
378,380,data scientist,wowjobs,"['hybrid - pune', ' gurugram', ' bengaluru']",5-8,not disclosed,"['data science', 'python', 'data scientist', 'pyspark', 'science', 'data']"
379,381,data scientist,lti mindtree,"['hybrid - hyderabad', ' pune', ' bengaluru']",8-10,not disclosed,"['ai', 'machine learning', 'natural language processing', 'mlops', 'artificial intelligence', 'process', 'machine', 'languages']"
380,382,data scientist predictive modelling,symmetrical global search pvt ltd,['bengaluru'],10-12,not disclosed,"['data modeling', 'coding', 'e-commerce', 'predictive modeling', 'html', 'hr', 'hrsd', 'modeling']"
381,383,machine learning-data scientist,diverse lynx,['bengaluru'],2-6,not disclosed,"['machine learning', 'machine']"
382,384,data scientist,tmd - the modern dimension,"['new delhi', ' bengaluru']",2-7,not disclosed,"['data science', 'data scientist', 'machine learning', 'algorithm', 'machine', 'algorithms', 'data', 'science']"
383,385,data scientist,coders brain pvt ltd,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['hypothesis testing', 'predictive modeling', 'predictive', 'hypothesis', 'data', 'modeling', 'software testing']"
384,386,data scientist,coders brain pvt ltd,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",4-6,not disclosed,"['computer vision', 'analytical', 'machine learning', 'agile', 'market research', 'business solutions', 'forecasting', 'financial services']"
385,387,data scientist,coders brain pvt ltd,['bengaluru'],7-9,not disclosed,"['deep learning', 'version control', 'gcp', 'quality testing', 'machine learning', 'high performance computing', 'business solutions', 'sql']"
386,388,data scientist,arnold consulting pvt ltd,['bengaluru'],10-15,not disclosed,"['computer science', 'data analysis', 'statistical modeling', 'data science', 'artificial intelligence', 'consulting', 'machine learning', 'database']"
387,389,data scientist,meyrahkee,"['mumbai', ' pune', ' bengaluru']",3-7,not disclosed,"['computer science', 'gcp', 'machine learning', 'cloud', 'manager technology', 'workflow', 'e-commerce', 'data quality']"
388,390,data scientist,diverse lynx,['bengaluru'],2-7,not disclosed,"['logistic regression', 'analyst', 'sas sql', 'data manipulation', 'data modeling', 'r programming', 'machine learning', 'linear regression']"
389,391,data scientist,wsd consultant,"['mumbai', ' hyderabad', ' pune', ' chennai', ' gurugram', ' bengaluru']",1-5,not disclosed,"['e-learning', 'data science', 'application programming', 'artificial intelligence', 'machine learning', 'manager technology', 'doctor', 'management']"
390,392,data scientist,aarch solutions,['bengaluru'],8-13,not disclosed,"['unix', 'supply chain', 'computer science', 'c++', 'linux', 'machine learning', 'spss', 'data mining']"
391,393,python data scientist,staffice global,['bengaluru'],2-5,not disclosed,"['computer science', 'usage', 'tableau', 'neural networks', 'analytical', 'predictive modeling', 'data quality', 'data mining']"
392,394,nlp data scientist,finite hr consulting private limited,['bengaluru'],3-5,not disclosed,"['technical product configuration', 'c++', 'c', 'design', 'mysql', 'javascript', 'integration php', 'html']"
393,395,data scientist,z2plus placement & security agency pvt. ltd.,['bengaluru'],2-3,not disclosed,"['supply chain', 'logistic regression', 'industry research', 'neural networks', 'project management', 'machine learning', 'business excellence', 'natural language processing']"
394,396,data scientist,xpheno,['bengaluru'],3-7,not disclosed,"['training', 'deep learning', 'data science', 'networking', 'gcp', 'big data analytics', 'machine learning', 'cloud storage']"
395,397,data scientist,diverse lynx,['bengaluru'],4-6,not disclosed,"['computer science', 'deep learning', 'data science', 'spark', 'consumer marketing', 'machine learning', 'forecasting', 'business understanding']"
396,398,data scientist: artificial intelligence,ibm,['pune'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
397,399,data scientist,ibm,"['mumbai', ' pune']",8-13,not disclosed,"['python', 'pyspark', 'pandas', 'tensorflow', 'stakeholder management', 'continuous integration', 'cnn', 'performance tuning']"
398,400,data scientist,ericsson,['noida'],3-7,not disclosed,"['computer vision', 'data management', 'senior management', 'gcp', 'machine learning', 'cloud', 'model development', 'analytics']"
399,1,data scientist: artificial intelligence,ibm,['bengaluru'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
400,2,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
401,3,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
402,4,data scientist,iqvia,"['hybrid - mumbai', ' gurugram', ' bengaluru']",8-12,not disclosed,"['data science', 'statistical modeling', 'regression', 'predictive analytics', 'predictive modeling', 'life sciences', 'healthcare analytics', 'healthcare']"
403,5,data scientist,ericsson,['bengaluru'],3-7,not disclosed,"['automation', 'orchestration', 'service assurance', 'project management', 'machine learning', 'agile', 'programming', 'jira']"
404,6,data scientist,capgemini,"['hybrid - chennai', ' bengaluru']",4-9,not disclosed,"['data science', 'machine learning', 'python', 'science', 'machine', 'data']"
405,7,urgent opening: data scientist / machine learning engineer | bangalore,kloud9,['hybrid - bengaluru'],3-8,20-32.5,"['python', 'pyspark', 'gcp', 'tensorflow', 'vertex', 'spark mllib', 'spark-core', 'jupyter notebook']"
406,8,sr data scientist - advanced machine learning,target,['bengaluru'],3-4,not disclosed,"['supply chain', 'product engineering', 'data analysis', 'analytical', 'machine learning', 'data structures', 'troubleshooting', 'sql']"
407,9,data scientist,johnson and johnson kenvue,['bengaluru'],4-6,not disclosed,"['supply chain', 'computer science', 'data analysis', 'operations research', 'data science', 'coding', 'machine learning', 'data mining']"
408,10,data scientist,pradeepit consulting services,['bengaluru'],3-7,not disclosed,"['analytical skills', 'data analysis', 'french', 'spanish', 'natural language processing', 'manager quality control', 'data mining', 'object oriented programming']"
409,11,data scientist 1,xoom,['bengaluru'],4-7,not disclosed,"['computer science', 'automation', 'operational risk', 'machine learning', 'wellness', 'risk management', 'ifrs', 'stakeholder management']"
410,12,data scientist,straive,"['hybrid - hyderabad', ' chennai', ' bengaluru']",4-6,not disclosed,"['marketing mix', 'data analytics', 'machine learning', 'python', 'sql', 'analytics', 'machine', 'marketing']"
411,13,data scientist - phd only,nds infoserv,['mumbai'],0-2,12-15,"['natural language processing', 'phd', 'deep learning', 'data science', 'processing', 'process', 'data', 'science']"
412,14,data scientist,privaini software india,['bengaluru'],5-8,not disclosed,"['data science libraries', 'machine learning', 'pytorch', 'aws sagemaker', 'natural language processing nlp', 'data science tools', 'svm', 'sql']"
413,15,data scientist,calsoft,"['pune(pune mumbai highway)', ' bengaluru']",5-7,not disclosed,"['natural language processing', 'machine learning', 'predictive modeling', 'artificial intelligence', 'neural networks', 'deep learning', 'data science', 'pattern recognition']"
414,16,lead data scientist - machine learning/artificial intelligence,tetrahed inc,['bengaluru'],7-10,not disclosed,"['data science', 'java', 'azure', 'strategy development', 'power bi', 'artificial intelligence', 'tableau', 'machine learning']"
415,17,group audit - data scientist,deutsche bank,['mumbai'],2-7,not disclosed,"['sql', 'python', 'confluence', 'data analytics', 'data analysis', 'natural language processing', 'scikit-learn', 'openshift']"
416,18,data scientist: artificial intelligence,ibm,['hyderabad'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
417,19,data scientist: artificial intelligence,ibm,['hyderabad'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
418,20,data scientist: artificial intelligence,ibm,['gurugram'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
419,21,data scientist: artificial intelligence,ibm,['bengaluru'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
420,22,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
421,23,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
422,24,data scientist,iqvia,"['hybrid - mumbai', ' gurugram', ' bengaluru']",8-12,not disclosed,"['data science', 'statistical modeling', 'regression', 'predictive analytics', 'predictive modeling', 'life sciences', 'healthcare analytics', 'healthcare']"
423,25,data scientist,ericsson,['bengaluru'],3-7,not disclosed,"['automation', 'orchestration', 'service assurance', 'project management', 'machine learning', 'agile', 'programming', 'jira']"
424,26,data scientist,capgemini,"['hybrid - chennai', ' bengaluru']",4-9,not disclosed,"['data science', 'machine learning', 'python', 'science', 'machine', 'data']"
425,27,urgent opening: data scientist / machine learning engineer | bangalore,kloud9,['hybrid - bengaluru'],3-8,20-32.5,"['python', 'pyspark', 'gcp', 'tensorflow', 'vertex', 'spark mllib', 'spark-core', 'jupyter notebook']"
426,28,sr data scientist - advanced machine learning,target,['bengaluru'],3-4,not disclosed,"['supply chain', 'product engineering', 'data analysis', 'analytical', 'machine learning', 'data structures', 'troubleshooting', 'sql']"
427,29,data scientist,johnson and johnson kenvue,['bengaluru'],4-6,not disclosed,"['supply chain', 'computer science', 'data analysis', 'operations research', 'data science', 'coding', 'machine learning', 'data mining']"
428,30,data scientist,pradeepit consulting services,['bengaluru'],3-7,not disclosed,"['analytical skills', 'data analysis', 'french', 'spanish', 'natural language processing', 'manager quality control', 'data mining', 'object oriented programming']"
429,31,data scientist 1,xoom,['bengaluru'],4-7,not disclosed,"['computer science', 'automation', 'operational risk', 'machine learning', 'wellness', 'risk management', 'ifrs', 'stakeholder management']"
430,32,data scientist,straive,"['hybrid - hyderabad', ' chennai', ' bengaluru']",4-6,not disclosed,"['marketing mix', 'data analytics', 'machine learning', 'python', 'sql', 'analytics', 'machine', 'marketing']"
431,33,data scientist - phd only,nds infoserv,['mumbai'],0-2,12-15,"['natural language processing', 'phd', 'deep learning', 'data science', 'processing', 'process', 'data', 'science']"
432,34,data scientist,privaini software india,['bengaluru'],5-8,not disclosed,"['data science libraries', 'machine learning', 'pytorch', 'aws sagemaker', 'natural language processing nlp', 'data science tools', 'svm', 'sql']"
433,35,data scientist,calsoft,"['pune(pune mumbai highway)', ' bengaluru']",5-7,not disclosed,"['natural language processing', 'machine learning', 'predictive modeling', 'artificial intelligence', 'neural networks', 'deep learning', 'data science', 'pattern recognition']"
434,36,lead data scientist - machine learning/artificial intelligence,tetrahed inc,['bengaluru'],7-10,not disclosed,"['data science', 'java', 'azure', 'strategy development', 'power bi', 'artificial intelligence', 'tableau', 'machine learning']"
435,37,group audit - data scientist,deutsche bank,['mumbai'],2-7,not disclosed,"['sql', 'python', 'confluence', 'data analytics', 'data analysis', 'natural language processing', 'scikit-learn', 'openshift']"
436,38,data scientist: artificial intelligence,ibm,['hyderabad'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
437,39,data scientist: artificial intelligence,ibm,['hyderabad'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
438,40,data scientist: artificial intelligence,ibm,['gurugram'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
439,41,data scientist,ibm,['bengaluru'],5-9,not disclosed,"['data engineering', 'python', 'erp', 'data analysis', 'forecasting', 'dbms', 'cognos', 'business acumen']"
440,42,data scientist,ibm,['bengaluru'],5-10,not disclosed,"['python', 'business acumen', 'sql', 'financial accounting', 'etl', 'erp', 'data analysis', 'forecasting']"
441,43,data scientist,lodha group,['mumbai (all areas)'],5-10,not disclosed,"['analytics', 'problem solving', 'data mining', 'machine learning', 'machine', 'data']"
442,44,sd1 data scientist,siemens,['pune'],6-11,not disclosed,"['deep learning', 'data analysis', 'consulting', 'machine learning', 'turbine', 'siemens', 'individual contributor', 'forecasting']"
443,45,data scientist,ford,['chennai'],3-8,not disclosed,"['text mining', 'operations research', 'nosql', 'neural networks', 'machine learning', 'natural language processing', 'data mining', 'analytics']"
444,46,data scientist,ford,['chennai'],6-7,not disclosed,"['logistic regression', 'sas', 'gcp', 'analytical', 'programming', 'deployment', 'analytics', 'sql']"
445,47,data scientist,ericsson,['noida'],8-12,not disclosed,"['computer science', 'computer vision', 'orchestration', 'gcp', 'analytical', 'machine learning', 'programming', 'data processing']"
446,48,data scientist i,honeywell,['bengaluru'],3-6,not disclosed,"['computer science', 'sql queries', 'tableau', 'kpi', 'analytical', 'power bi', 'data analytics', 'analyst ii']"
447,49,data scientist,johnson and johnson kenvue,['bengaluru'],3-5,not disclosed,"['supply chain', 'computer science', 'data analysis', 'demand planning', 'analytical', 'agile', 'data quality', 'fmcg']"
448,50,data scientist - blr/ hyd/ ggn,genpact,"['hybrid - hyderabad', ' gurugram', ' bengaluru']",6-11,not disclosed,"['data science', 'predictive modeling', 'decision tree', 'text analytics', 'natural language processing', 'neural networks', 'text mining', 'llm']"
449,51,data scientist,hexaware technologies,['hybrid - bengaluru'],9-14,16-30,"['data science', 'natural language processing', 'machine learning', 'deep learning', 'science', 'machine', 'process', 'data']"
450,52,data scientist - aep,adobe systems india pvt. ltd.,['bengaluru'],5-9,not disclosed,"['data analysis', 'data science', 'image processing', 'web analytics', 'data modeling', 'machine learning', 'adobe', 'digital marketing']"
451,53,data scientist with gen ai - per role- blr,ibm,"['hyderabad', ' gurugram', ' bengaluru']",7-12,25-40,"['gen ai', 'llm', 'data science', 'nlp', 'data', 'pert', 'gen', 'natural language processing']"
